weekday,hour,predicted_people
Sunday,9,10.671879
Sunday,10,10.671879
Sunday,11,9.839006
Sunday,12,9.830922
Sunday,13,9.830922
Sunday,14,9.830922
Sunday,15,9.830922
Sunday,16,10.75855
Sunday,17,10.671879
Sunday,18,10.671879
Sunday,19,10.671879
Sunday,20,10.671879
Sunday,21,8.980049
Monday,9,10.671879
Monday,10,10.671879
Monday,11,10.671879
Monday,12,10.671879
Monday,13,9.736528
Monday,14,9.830922
Monday,15,8.972937
Monday,16,8.961233
Monday,17,8.961233
Monday,18,8.961233
Monday,19,8.961233
Monday,20,8.961233
Monday,21,8.869234
Tuesday,9,9.830922
Tuesday,10,8.972937
Tuesday,11,8.961233
Tuesday,12,8.961233
Tuesday,13,8.961233
Tuesday,14,8.961233
Tuesday,15,9.808844
Tuesday,16,9.830922
Tuesday,17,9.830922
Tuesday,18,9.830922
Tuesday,19,9.830922
Tuesday,20,9.830922
Tuesday,21,9.924947
Wednesday,9,8.961233
Wednesday,10,8.961233
Wednesday,11,8.961233
Wednesday,12,8.961233
Wednesday,13,8.961233
Wednesday,14,8.961233
Wednesday,15,8.961233
Wednesday,16,9.815482
Wednesday,17,9.830922
Wednesday,18,9.830922
Wednesday,19,9.830922
Wednesday,20,9.830922
Wednesday,21,9.830922
Thursday,9,9.830922
Thursday,10,9.830922
Thursday,11,9.830922
Thursday,12,9.830922
Thursday,13,9.830922
Thursday,14,10.657707
Thursday,15,10.671879
Thursday,16,9.736528
Thursday,17,9.830922
Thursday,18,9.830922
Thursday,19,9.830922
Thursday,20,8.972937
Thursday,21,8.861453
Friday,9,10.671167
Friday,10,10.671879
Friday,11,10.671879
Friday,12,9.830922
Friday,13,9.830922
Friday,14,8.972937
Friday,15,8.961233
Friday,16,8.961233
Friday,17,8.961233
Friday,18,8.961233
Friday,19,8.961233
Friday,20,8.961233
Friday,21,8.961233
Saturday,9,8.961233
Saturday,10,8.961233
Saturday,11,8.961233
Saturday,12,8.961233
Saturday,13,9.858451
Saturday,14,9.830922
Saturday,15,9.830922
Saturday,16,9.830922
Saturday,17,9.830922
Saturday,18,8.983625
Saturday,19,8.961233
Saturday,20,8.961233
Saturday,21,8.961233
