weekday,hour,predicted_people
Sunday,9,9.038141
Sunday,10,9.950753
Sunday,11,9.986605
Sunday,12,9.986605
Sunday,13,9.986605
Sunday,14,9.986605
Sunday,15,9.083194
Sunday,16,9.038141
Sunday,17,9.038141
Sunday,18,9.038141
Sunday,19,9.038141
Sunday,20,9.950043
Sunday,21,9.048416
Monday,9,9.038141
Monday,10,9.038141
Monday,11,9.038141
Monday,12,9.038141
Monday,13,9.975261
Monday,14,9.986605
Monday,15,9.986605
Monday,16,9.986605
Monday,17,9.060572
Monday,18,9.038141
Monday,19,9.038141
Monday,20,9.038141
Monday,21,9.060572
Tuesday,9,9.038141
Tuesday,10,9.038141
Tuesday,11,9.038141
Tuesday,12,9.038141
Tuesday,13,9.038141
Tuesday,14,9.038141
Tuesday,15,10.04252
Tuesday,16,9.986605
Tuesday,17,9.986605
Tuesday,18,9.986605
Tuesday,19,9.986605
Tuesday,20,9.986605
Tuesday,21,8.944228
Wednesday,9,9.986605
Wednesday,10,9.986605
Wednesday,11,9.986605
Wednesday,12,9.986605
Wednesday,13,9.986605
Wednesday,14,9.986605
Wednesday,15,9.986605
Wednesday,16,9.986605
Wednesday,17,9.083194
Wednesday,18,9.038141
Wednesday,19,8.12352
Wednesday,20,8.114221
Wednesday,21,8.0444355
Thursday,9,9.038141
Thursday,10,9.038141
Thursday,11,9.038141
Thursday,12,9.038141
Thursday,13,9.038141
Thursday,14,9.038141
Thursday,15,9.038141
Thursday,16,9.038141
Thursday,17,8.156996
Thursday,18,9.007508
Thursday,19,9.038141
Thursday,20,9.038141
Thursday,21,9.096001
Friday,9,9.038141
Friday,10,8.141285
Friday,11,8.114221
Friday,12,8.114221
Friday,13,8.114221
Friday,14,8.114221
Friday,15,8.114221
Friday,16,8.114221
Friday,17,8.114221
Friday,18,8.114221
Friday,19,8.114221
Friday,20,8.114221
Friday,21,8.0444355
Saturday,9,9.038141
Saturday,10,9.038141
Saturday,11,9.038141
Saturday,12,9.038141
Saturday,13,9.038141
Saturday,14,9.038141
Saturday,15,9.038141
Saturday,16,9.038141
Saturday,17,9.038141
Saturday,18,9.038141
Saturday,19,9.038141
Saturday,20,9.038141
Saturday,21,9.096001
