weekday,hour,predicted_people
Sunday,9,10.030766
Sunday,10,11.014309
Sunday,11,11.013236
Sunday,12,11.013236
Sunday,13,11.013236
Sunday,14,11.013236
Sunday,15,11.013236
Sunday,16,11.013236
Sunday,17,11.013236
Sunday,18,11.013236
Sunday,19,11.013236
Sunday,20,10.030766
Sunday,21,7.9845634
Monday,9,10.010385
Monday,10,10.030766
Monday,11,10.030766
Monday,12,10.030766
Monday,13,10.030766
Monday,14,10.030766
Monday,15,10.030766
Monday,16,10.030766
Monday,17,10.030766
Monday,18,10.030766
Monday,19,10.030766
Monday,20,9.007681
Monday,21,9.027757
Tuesday,9,10.030766
Tuesday,10,10.030766
Tuesday,11,10.030766
Tuesday,12,10.030766
Tuesday,13,10.030766
Tuesday,14,10.030766
Tuesday,15,10.030766
Tuesday,16,10.030766
Tuesday,17,10.030766
Tuesday,18,10.030766
Tuesday,19,10.030766
Tuesday,20,10.030766
Tuesday,21,10.010897
Wednesday,9,10.030766
Wednesday,10,10.030766
Wednesday,11,10.030766
Wednesday,12,10.030766
Wednesday,13,10.030766
Wednesday,14,10.030766
Wednesday,15,11.014309
Wednesday,16,11.013236
Wednesday,17,11.013236
Wednesday,18,11.013236
Wednesday,19,11.013236
Wednesday,20,11.013236
Wednesday,21,11.014309
Thursday,9,10.030766
Thursday,10,10.030766
Thursday,11,10.030766
Thursday,12,10.987499
Thursday,13,11.013236
Thursday,14,11.013236
Thursday,15,11.013236
Thursday,16,11.013236
Thursday,17,11.013236
Thursday,18,11.013236
Thursday,19,11.013236
Thursday,20,10.054531
Thursday,21,10.039015
Friday,9,10.030766
Friday,10,10.030766
Friday,11,10.030766
Friday,12,10.030766
Friday,13,10.030766
Friday,14,10.030766
Friday,15,11.0018835
Friday,16,11.013236
Friday,17,11.013236
Friday,18,11.013236
Friday,19,11.013236
Friday,20,11.013236
Friday,21,11.014309
Saturday,9,9.014079
Saturday,10,8.997314
Saturday,11,8.997314
Saturday,12,8.997314
Saturday,13,8.997314
Saturday,14,8.997314
Saturday,15,8.997314
Saturday,16,8.997314
Saturday,17,8.997314
Saturday,18,8.997314
Saturday,19,8.997314
Saturday,20,7.971715
Saturday,21,8.12543
