weekday,hour,predicted_people
Sunday,9,5
Sunday,10,5
Sunday,11,10
Sunday,12,3
Sunday,13,9
Sunday,14,9
Sunday,15,0
Sunday,16,11
Sunday,17,1
Sunday,18,10
Sunday,19,10
Sunday,20,10
Sunday,21,10
Monday,9,5
Monday,10,4
Monday,11,11
Monday,12,0
Monday,13,10
Monday,14,10
Monday,15,4
Monday,16,7
Monday,17,5
Monday,18,10
Monday,19,10
Monday,20,10
Monday,21,10
Tuesday,9,1
Tuesday,10,2
Tuesday,11,8
Tuesday,12,11
Tuesday,13,10
Tuesday,14,10
Tuesday,15,6
Tuesday,16,8
Tuesday,17,8
Tuesday,18,10
Tuesday,19,10
Tuesday,20,10
Tuesday,21,10
Wednesday,9,8
Wednesday,10,12
Wednesday,11,2
Wednesday,12,3
Wednesday,13,10
Wednesday,14,10
Wednesday,15,0
Wednesday,16,2
Wednesday,17,6
Wednesday,18,10
Wednesday,19,10
Wednesday,20,10
Wednesday,21,10
Thursday,9,5
Thursday,10,9
Thursday,11,9
Thursday,12,5
Thursday,13,11
Thursday,14,11
Thursday,15,1
Thursday,16,1
Thursday,17,6
Thursday,18,10
Thursday,19,10
Thursday,20,10
Thursday,21,10
Friday,9,4
Friday,10,8
Friday,11,10
Friday,12,5
Friday,13,10
Friday,14,10
Friday,15,4
Friday,16,4
Friday,17,8
Friday,18,11
Friday,19,11
Friday,20,11
Friday,21,11
Saturday,9,5
Saturday,10,7
Saturday,11,2
Saturday,12,11
Saturday,13,10
Saturday,14,10
Saturday,15,5
Saturday,16,10
Saturday,17,11
Saturday,18,10
Saturday,19,10
Saturday,20,10
Saturday,21,10
